1	42131.0	43224.0
2	40103.0	40465.0
3	38235.0	37191.0
4	39236.25	36455.0
5	38609.25	36582.0
6	36741.25	33303.0
7	35367.0	30865.0
8	36564.5	30497.0
9	34951.5	27954.0
10	34951.5	31850.5
11	32715.5	29675.5
12	33913.0	28939.5
13	32300.0	26872.0
14	31070.0	24704.0
15	30443.0	25069.0
16	30443.0	24701.0
17	29085.0	22764.0
18	27982.0	20613.0
19	26879.0	18676.0
20	26879.0	18308.0
21	26879.0	20733.5
22	25939.0	18966.0
23	25045.0	17364.0
24	25045.0	16628.0
25	24151.0	14946.0
26	23942.0	13755.0
27	23257.0	11705.0
28	23257.0	11337.0
29	22572.0	9655.0
30	22096.0	7785.0
31	22096.0	8498.0
32	22096.0	8130.0
33	21620.0	6080.0
34	21382.0	4422.0
35	21255.0	2740.0
36	21255.0	2004.0
37	21255.0	1774.5
38	21017.0	347.5
39	21017.0	0.0
